Platform,business_id,city,state,postal_code,score,review_count,Gender,CEO_sch_cat,CEO_grd_yr,field_cat,ZIP Code,Business_ID_other,Rural_metropolitan_Desc,Tot_Clms_Services,Brnd_Tot_Clms_Services,Gnrc_Tot_Clms_Services,Othr_Tot_Clms_Services,LIS_Tot_Clms_Services,Opioid_Tot_Clms_Services,Antbtc_Tot_Clms_Services
Platform 1,1669462966,Safety Harbor,FL,34695,2.5,7,M,175,1985,18,346956607,,,,,,,,,
Platform 1,1831166685,Tucson,AZ,85718,2.5,20,M,70,1989,3,850401978,,,,,,,,,
Platform 1,1528081197,Newark,DE,19713,1.5,5,M,108,1998,59,197117009,1528081197,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3205,350,2835,20,620,40,100
Platform 1,1144294323,Marlton,NJ,08053,4.5,25,M,178,1984,35,80533129,1144294323,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2410,246,2164,0,600,1225,44
Platform 1,1316037153,Tucson,AZ,85741,2,6,M,3,1992,33,104672401,,,,,,,,,
Platform 1,1801882667,Clearwater,FL,33764,1,5,M,108,1992,48,337646301,1801882667,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",423,231,192,0,93,0,0
Platform 1,1093036501,Tampa,FL,33614,4,5,F,108,2010,14,331361003,1093036501,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",128,20,108,0,88,13,37
Platform 1,1205560752,Edmonton,AB,T5J 1G4,4.5,6,F,108,2021,45,421298137,,,,,,,,,
Platform 1,1578029260,Reno,NV,89523,3.5,5,F,108,2016,66,895570001,,,,,,,,,
Platform 1,1912903907,St. Louis,MO,63132,5,9,M,184,2000,49,631181012,1912903907,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",404,266,138,0,21,0,25
Platform 1,1255598850,Marlton,NJ,08053,1.5,10,M,136,2000,32,79606136,1255598850,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",299,202,97,0,151,,
Platform 1,1598833543,Tampa,FL,33624,2,18,M,108,2000,60,336134679,1598833543,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",87,,85,,,14,22
Platform 1,1639806177,Bala Cynwyd,PA,19004,2.5,25,F,108,2022,45,190042736,,,,,,,,,
Platform 1,1316724883,Carmel,IN,46033,5,10,F,108,2023,47,46033,,,,,,,,,
Platform 1,1053455626,Santa Barbara,CA,93105,2.5,14,M,113,1998,3,931056219,,,,,,,,,
Platform 1,1558528406,Philadelphia,PA,19139,4.5,6,F,204,2008,17,54011473,1558528406,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",621,22,599,0,114,0,37
Platform 1,1598833543,Tampa,FL,33634,1.5,6,M,108,2000,60,336134679,1598833543,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",87,,85,,,14,22
Platform 1,1992914048,Trinity,FL,34655,2.5,6,F,108,1985,58,34655,,,,,,,,,
Platform 1,1952533663,Hendersonville,TN,37075,1.5,7,F,49,2005,46,370752379,1952533663,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",51,15,36,0,,,
Platform 1,1598833543,Tampa,FL,33618,3.5,15,M,108,2000,60,336134679,1598833543,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",87,,85,,,14,22
Platform 1,1205560752,Edmonton,AB,T6N 0A8,3,5,F,108,2021,45,421298137,,,,,,,,,
Platform 1,1457422040,Washington Township,NJ,08080,1.5,8,F,108,1993,58,76764841,,,,,,,,,
Platform 1,1760515456,Saint Petersburg,FL,33710,4,14,M,60,1995,11,337055608,,,,,,,,,
Platform 1,1801177878,Sewell,NJ,08080,3,6,M,91,2011,64,80802358,1801177878,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",691,531,160,0,272,0,28
Platform 1,1558528406,Tucson,AZ,85704,2,5,F,204,2008,17,54011473,1558528406,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",621,22,599,0,114,0,37
Platform 1,1821383456,Philadelphia,PA,19107,4,41,M,77,2011,22,191044319,,,,,,,,,
Platform 1,1972644953,Abington,PA,19001,2,6,F,108,1992,12,605218608,,,,,,,,,
Platform 1,1912940883,Chalfont,PA,18914,3.5,8,M,138,,61,189143966,1912940883,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",202,,192,,24,,52
Platform 1,1346842234,Tampa,FL,33609,4.5,9,F,108,2020,45,337642829,1346842234,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1935,125,1810,0,1652,0,0
Platform 1,1811949530,Indianapolis,IN,46204,5,6,M,45,2004,49,462194245,1811949530,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",658,224,434,0,259,0,
Platform 1,1063517050,Saint Petersburg,FL,33710,4.5,6,F,174,1984,17,337138012,1063517050,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",315,14,301,0,39,0,23
Platform 1,1902048259,Saint Petersburg,FL,33710,5,6,M,201,2009,3,337051300,1902048259,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",24,11,13,0,0,0,0
Platform 1,1629245022,New Orleans,LA,70122,2,6,M,130,2006,21,701174736,1629245022,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6308,802,5391,115,4920,16,146
Platform 1,1366848137,Tucson,AZ,85741,3.5,11,M,108,2014,59,857112602,,,,,,,,,
Platform 1,1114536737,Meridian,ID,83642,3.5,8,M,108,2019,45,836427670,,,,,,,,,
Platform 1,1447244470,Reno,NV,89511,4.5,166,F,219,1987,21,498291215,1447244470,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",7985,1198,6724,63,2264,260,175
Platform 1,1992921811,Ewing,NJ,08618,2,6,M,108,1981,33,86182669,1992921811,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7236,1223,5995,18,5336,162,127
Platform 1,1265438956,Edmonton,AB,T5J 3P3,4.5,9,M,129,1991,49,421298125,1265438956,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",65,28,37,0,38,0,0
Platform 1,1891134227,Brandon,FL,33511,1.5,12,F,10,2013,46,335115921,1891134227,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",17,,14,,,,
Platform 1,1346600723,Boise,ID,83702,4,12,F,108,2015,13,837048616,,,,,,,,,
Platform 1,1942781919,Tampa,FL,33629,4.5,17,F,108,2018,59,440606601,1942781919,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",70,,65,,31,15,
Platform 1,1053340877,Tucson,AZ,85719,3,8,M,76,1992,19,857122805,1053340877,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",669,45,624,0,176,119,138
Platform 1,1871053264,Reno,NV,89519,4,8,M,143,2019,3,895034548,,,,,,,,,
Platform 1,1376549642,Philadelphia,PA,19103,3.5,16,M,116,1984,33,191111370,1376549642,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2330,,2145,,707,,41
Platform 1,1730409970,Tampa,FL,33607,1,24,M,189,2010,53,336255814,1730409970,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",375,32,343,0,115,,48
Platform 1,1154447175,Cherry Hill,NJ,08002,3.5,8,M,108,1997,76,80024605,,,,,,,,,
Platform 1,1336374305,New Port Richey,FL,34655,4,5,M,108,2004,18,346524329,,,,,,,,,
Platform 1,1427671585,Voorhees,NJ,08043,2,10,F,108,2019,45,87536500,1427671585,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",157,20,137,0,30,0,101
Platform 1,1225401573,Tampa,FL,33647,3.5,9,F,108,2015,45,336132601,1225401573,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1002,,819,,394,0,
Platform 1,1811426398,Hatfield,PA,19440,3,14,F,108,2016,21,194402300,1811426398,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",351,,316,,136,,15
Platform 1,1023052479,Saint Louis,MO,63122,2.5,6,M,126,1984,12,633671366,,,,,,,,,
Platform 1,1962172882,Reno,NV,89523,3,8,F,64,2021,11,770742090,,,,,,,,,
Platform 1,1689193146,Evesham Township,NJ,08053,2,7,F,108,2017,59,80534116,1689193146,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",543,20,523,0,133,0,
Platform 1,1114339470,Webster Groves,MO,63119,4.5,5,F,108,2013,45,631195304,,,,,,,,,
Platform 1,1093009748,Pinellas Park,FL,33781,2.5,5,F,43,2011,21,337813540,1093009748,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",277,,237,,121,13,36
Platform 1,1902843584,Boise,ID,83706,2.5,13,M,108,1993,10,837061309,,,,,,,,,
Platform 1,1821040866,Philadelphia,PA,19148,3,8,M,210,1998,18,191115729,,,,,,,,,
Platform 1,1578029260,Reno,NV,89509,2,5,F,108,2016,66,895570001,,,,,,,,,
Platform 1,1962430314,Philadelphia,PA,19123,5,193,M,22,1972,33,191141031,1962430314,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8856,1136,7581,139,4147,398,91
Platform 1,1053340877,Tucson,AZ,85711,2,25,M,76,1992,19,857122805,1053340877,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",669,45,624,0,176,119,138
Platform 1,1578029260,Reno,NV,89509,5,22,F,108,2016,66,895570001,,,,,,,,,
Platform 1,1497133706,Yardley,PA,19067,5,8,F,51,2015,46,181042258,1497133706,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",80,22,58,0,33,0,
Platform 1,1245729854,Drexel Hill,PA,19026,2,24,F,108,2017,45,190264821,1245729854,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",282,36,231,15,234,0,
Platform 1,1821040866,Indianapolis,IN,46240,4.5,60,M,210,1998,18,462378606,,,,,,,,,
Platform 1,1720672967,Media,PA,19063,3,8,F,108,2020,58,190636502,,,,,,,,,
Platform 1,1578029260,Reno,NV,89509,2.5,27,F,108,2016,66,895570001,,,,,,,,,
Platform 1,1578029260,Reno,NV,89511,3.5,117,F,108,2016,66,895570001,,,,,,,,,
Platform 1,1053377333,St. Louis,MO,63118,3,6,M,175,1991,75,631184601,1053377333,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",925,116,809,0,754,,195
Platform 1,1205560752,Edmonton,AB,T6G 1Z1,3,6,F,108,2021,45,421298137,,,,,,,,,
Platform 1,1871989194,Franklin,TN,37067,4,23,F,108,2015,18,370672872,,,,,,,,,
Platform 1,1982655684,Philadelphia,PA,19102,4.5,61,F,108,1980,3,799023524,,,,,,,,,
Platform 1,1629245022,New Orleans,LA,70125,2,11,M,130,2006,21,701174736,1629245022,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6308,802,5391,115,4920,16,146
Platform 1,1700088598,Pottstown,PA,19464,4.5,13,F,90,2005,11,194649209,,,,,,,,,
Platform 1,1366848137,Tucson,AZ,85747,4,17,M,108,2014,59,857112602,,,,,,,,,
Platform 1,1366848137,Tucson,AZ,85719,3.5,29,M,108,2014,59,857112602,,,,,,,,,
Platform 1,1770720401,Santa Barbara,CA,93105,2.5,17,F,108,1997,13,931032109,,,,,,,,,
Platform 1,1962954867,Jenkintown,PA,19046,3.5,25,F,108,2016,45,190463707,1962954867,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",42,,38,,42,0,
Platform 1,1790190700,Palm Harbor,FL,34685,3.5,18,M,108,2012,51,346841109,1790190700,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",486,,484,,46,233,
Platform 1,1497909147,Philadelphia,PA,19146,3.5,35,F,213,1988,63,191074315,,,,,,,,,
Platform 1,1134324825,Brentwood,TN,37027,3,30,F,106,2005,51,370275721,1134324825,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",171,,164,,17,28,
Platform 1,1497909147,Philadelphia,PA,19103,4.5,9,F,213,1988,63,191074315,,,,,,,,,
Platform 1,1992846877,Nashville,TN,37212,3.5,39,M,108,2006,10,372320028,,,,,,,,,
Platform 1,1134100118,Chesterfield,MO,63017,5,8,M,108,2002,10,630173406,,,,,,,,,
Platform 1,1497909147,Philadelphia,PA,19102,5,15,F,213,1988,63,191074315,,,,,,,,,
Platform 1,1891134227,Brandon,FL,33511,2.5,19,F,10,2013,46,335115921,1891134227,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",17,,14,,,,
Platform 1,1699722504,Mount Laurel,NJ,08054,2,8,M,108,2002,58,80546302,,,,,,,,,
Platform 1,1245386655,Indianapolis,IN,46203,3,6,M,111,1980,11,462035937,,,,,,,,,
